City name;Airport Code;Airport Name
Aberdeen;APG;Phillips AAF
Aberdeen;ABR;Municipal
Abilene;DYS;Dyess AFB
Abilene;ABI;Municipal
Abingdon;VJI;Virginia Highlands
Ada;ADT;Ada
Adak Island;ADK;Adak Island NS
Adrian;ADG;Lenawee County
Afton;AFO;Municipal
Aiken;AIK;Municipal
Ainsworth;ANW;Ainsworth
Akhiok;AKK;Akhiok SPB
Akiachak;KKI;Spb
Akiak;AKI;Akiak
Akron;AKO;Washington Co
Akron/Canton;CAK;Akron/Canton Regional
Akron/Canton;AKC;Fulton International
Akutan;KQA;Akutan
Alakanuk;AUK;Alakanuk
Alameda;NGZ;NAS
Alamogordo;HMN;Holloman AFB
Alamogordo;ALM;Municipal
Alamosa;ALS;Municipal
Albany;NAB;Albany NAS
Albany;ABY;Dougherty County
Albany;ALB;Albany International
Albany;ZLY;Albany NY Rail
Albany;CVO;Albany
Albert Lea;AEL;Albert Lea
Albuquerque;ABQ;Albuquerque International
Aleknagik;WKK;Aleknagik
Aleneva;AED;Aleneva
Alexander City;ALX;Thomas C Russell Fld
Alexandria;AEX;Alexandria Internation
Alexandria;ESF;Esler Field
Alexandria;AXN;Alexandria
Alexandria Bay;AXB;Alexandria Bay
Algona;AXG;Algona
Alice;ALI;International
Aliceville;AIV;George Downer
Alitak;ALZ;Alitak SPB
Allakaket;AET;Allakaket
Alliance;AIA;Alliance
Alma;AMN;Gratiot Community
Alpena;APN;Alpena County Regional
Alpine;ALE;Alpine
Alton;ALN;Alton
Altus;LTS;Altus AFB
Altus;AXS;Municipal
Alyeska;AQY;Alyeska
Amarillo;AMA;International
Amarillo;TDW;Tradewind
Ambler;ABL;Ambler
Amchitka;AHT;Amchitka
Amery;AHH;Municipal
Ames;AMW;Ames
Amityville;AYZ;Zahns
Amook;AOS;Amook
Anacortes;OTS;Anacortes
Anacostia;NDV;USN Heliport
Anaheim;ANA;Anaheim
Anaktuvuk;AKP;Anaktuvuk
Anchorage;EDF;Elmendorf AFB
Anchorage;ANC;Ted Stevens Anchorage Int'l
Anchorage;MRI;Merrill Field
Anderson;AID;Municipal
Anderson;AND;Anderson
Andrews;ADR;Andrews
Angel Fire;AXX;Angel Fire
Angola;ANQ;Tri-State Steuben Cty
Angoon;AGN;Angoon
Anguilla;RFK;Rollang Field
Aniak;ANI;Aniak
Anita Bay;AIB;Anita Bay
Ann Arbor;ARB;Municipal
Annapolis;ANP;Lee
Annette Island;ANN;Annette Island
Anniston;ANB;County Arpt
Anniston;QAW;Ft Mcclellan Bus Trml
Anniston;RLI;Reilly AHP
Anthony;ANY;Anthony
Antlers;ATE;Antlers
Anvik;ANV;Anvik
Apalachicola;AAF;Municipal
Apple Valley;APV;Apple Valley
Appleton;ATW;Outagamie County
Arapahoe;AHF;Municipal
Arcata;ACV;Arcata
Arctic Village;ARC;Arctic Village
Ardmore;AHD;Downtown
Ardmore;ADM;Ardmore Municipal Arpt
Arlington Heights;JLH;US Army Heliport
Artesia;ATS;Artesia
Neptune, NJ;ARX;Asbury Park
Ashland;ASX;Ashland
Ashley;ASY;Ashley
Aspen;ASE;Aspen
Astoria;AST;Astoria
Athens;AHN;Athens
Athens;ATO;Ohio University
Athens;MMI;McMinn County
Atka;AKB;Atka
Atlanta;JAO;Beaver Ruin
Atlanta;PDK;De Kalb/Peachtree
Atlanta;FTY;Fulton County
Atlanta;JGL;Galleria
Atlanta;ATL;Hartsfield-Jackson Atlanta Int
Atlanta;JAJ;Perimeter Mall
Atlanta;JAE;Technology Park
Atlantic;AIO;Municipal
Atlantic City;ACY;Atlantic City Intl
Atlantic City;AIY;Bader Field
Atlantic City;JSL;Steel Pier Hlpt
Atmautluak;ATT;Atmautluak
Atqasuk;ATK;Atqasuk
Attu Island;ATU;Casco Cove
Auburn;AUO;Auburn-Opelika
Auburn;AUN;Auburn
Augusta;AGS;Bush Field
Augusta;DNL;Daniel Field
Augusta;AUG;Augusta
Aurora;AUZ;Municipal Airport
Austin;AUM;Austin
Austin;ASQ;Austin
Austin;MMR;Camp Maybry AHP
Avon Park;AVO;Municipal
Baca Grande;BCJ;Baca Grande
Bagdad;BGT;Bagdad
Bainbridge;BGE;Decatur County
Baker;BKE;Baker
Baker Island;BAR;Baker AAF
Bakersfield;BFL;Meadows Field
Baltimore;GBO;Baltimore Greenbelt T
Baltimore;ZBP;Baltimore Rail
Baltimore;MTN;Glenn L Martin
