,w_index,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Airport_Code,tavg_cat,prcp_cat,wspd_cat
0,ATL 2022-04-10,2022-04-10,12.0,0.6,23.3,0.0,0.0,303.0,5.2,,1018.5,,ATL,c) 10-20,a) 0-1,b) Light or Gentle Breeze
1,ATL 2022-04-11,2022-04-11,14.4,6.7,21.1,0.0,0.0,308.0,4.7,,1019.6,,ATL,c) 10-20,a) 0-1,a) Calm or Light Air
2,ATL 2022-04-12,2022-04-12,19.4,11.7,27.2,0.0,0.0,265.0,7.6,,1019.4,,ATL,c) 10-20,a) 0-1,b) Light or Gentle Breeze
3,ATL 2022-04-13,2022-04-13,21.2,16.7,25.0,0.0,0.0,173.0,12.2,,1015.8,,ATL,d) 20-30,a) 0-1,b) Light or Gentle Breeze
4,ATL 2022-04-14,2022-04-14,19.7,15.6,23.9,1.0,0.0,283.0,12.2,,1014.9,,ATL,c) 10-20,a) 0-1,b) Light or Gentle Breeze
5,ATL 2022-04-15,2022-04-15,16.5,5.0,25.0,0.0,0.0,62.0,7.9,,1020.0,,ATL,c) 10-20,a) 0-1,b) Light or Gentle Breeze
6,ATL 2022-04-16,2022-04-16,18.5,14.4,21.7,24.0,0.0,91.0,8.6,,1016.7,,ATL,c) 10-20,d) 20-30,b) Light or Gentle Breeze
7,ATL 2022-04-17,2022-04-17,18.5,13.9,23.3,5.0,0.0,345.0,3.3,,1015.3,,ATL,c) 10-20,b) 1-10,a) Calm or Light Air
8,ATL 2022-04-18,2022-04-18,17.1,10.0,21.7,15.1,0.0,285.0,13.9,,1014.3,,ATL,c) 10-20,c) 10-20,b) Light or Gentle Breeze
9,ATL 2022-04-19,2022-04-19,10.8,5.0,17.2,0.0,0.0,332.0,13.2,,1022.0,,ATL,c) 10-20,a) 0-1,b) Light or Gentle Breeze
10,ATL 2022-04-20,2022-04-20,13.4,3.9,22.2,0.0,0.0,78.0,9.0,,1025.6,,ATL,c) 10-20,a) 0-1,b) Light or Gentle Breeze
11,ATL 2022-04-21,2022-04-21,18.6,13.3,24.4,0.0,0.0,127.0,9.5,,1028.1,,ATL,c) 10-20,a) 0-1,b) Light or Gentle Breeze
12,ATL 2022-04-22,2022-04-22,19.2,10.6,27.2,0.0,0.0,29.0,4.6,,1027.7,,ATL,c) 10-20,a) 0-1,a) Calm or Light Air
13,ATL 2022-04-23,2022-04-23,20.1,11.7,27.2,0.0,0.0,74.0,7.1,,1023.8,,ATL,d) 20-30,a) 0-1,b) Light or Gentle Breeze
14,ATL 2022-04-24,2022-04-24,21.2,14.4,26.7,0.0,0.0,161.0,7.6,,1021.5,,ATL,d) 20-30,a) 0-1,b) Light or Gentle Breeze
15,ATL 2022-04-25,2022-04-25,21.1,13.3,28.9,0.0,0.0,294.0,5.6,,1019.6,,ATL,d) 20-30,a) 0-1,b) Light or Gentle Breeze
16,ATL 2022-04-26,2022-04-26,17.2,14.4,20.0,2.8,0.0,342.0,7.1,,1020.2,,ATL,c) 10-20,b) 1-10,b) Light or Gentle Breeze
17,ATL 2022-04-27,2022-04-27,16.3,7.8,24.4,0.0,0.0,353.0,7.2,,1020.8,,ATL,c) 10-20,a) 0-1,b) Light or Gentle Breeze
18,ATL 2022-04-28,2022-04-28,17.4,7.2,25.6,0.0,0.0,67.0,6.0,,1019.9,,ATL,c) 10-20,a) 0-1,b) Light or Gentle Breeze
19,ATL 2022-04-29,2022-04-29,18.3,10.0,26.1,0.0,0.0,50.0,5.8,,1018.5,,ATL,c) 10-20,a) 0-1,b) Light or Gentle Breeze
20,ATL 2022-04-30,2022-04-30,20.9,12.8,26.7,0.0,0.0,158.0,8.4,,1016.9,,ATL,d) 20-30,a) 0-1,b) Light or Gentle Breeze
21,ATL 2022-05-01,2022-05-01,21.6,16.1,27.2,0.0,0.0,252.0,8.0,,1016.7,,ATL,d) 20-30,a) 0-1,b) Light or Gentle Breeze
22,ATL 2022-05-02,2022-05-02,23.4,17.2,30.0,0.0,0.0,284.0,5.8,,1017.4,,ATL,d) 20-30,a) 0-1,b) Light or Gentle Breeze
23,ATL 2022-05-03,2022-05-03,23.4,16.7,30.0,0.0,0.0,271.0,7.9,,1016.3,,ATL,d) 20-30,a) 0-1,b) Light or Gentle Breeze
24,ATL 2022-05-04,2022-05-04,22.9,17.8,29.4,8.4,0.0,325.0,6.5,,1016.5,,ATL,d) 20-30,b) 1-10,b) Light or Gentle Breeze
25,ATL 2022-05-05,2022-05-05,23.9,17.2,30.6,0.0,0.0,311.0,5.1,,1015.1,,ATL,d) 20-30,a) 0-1,b) Light or Gentle Breeze
26,ATL 2022-05-06,2022-05-06,23.0,20.6,27.2,5.4,0.0,233.0,15.3,,1007.2,,ATL,d) 20-30,b) 1-10,b) Light or Gentle Breeze
27,ATL 2022-05-07,2022-05-07,17.3,15.0,20.0,0.0,0.0,293.0,16.5,,1007.0,,ATL,c) 10-20,a) 0-1,b) Light or Gentle Breeze
28,ATL 2022-05-08,2022-05-08,15.8,11.7,20.6,0.0,0.0,12.0,5.0,,1012.2,,ATL,c) 10-20,a) 0-1,a) Calm or Light Air
29,ATL 2022-05-09,2022-05-09,17.4,12.8,23.3,0.0,0.0,68.0,10.1,,1019.5,,ATL,c) 10-20,a) 0-1,b) Light or Gentle Breeze
30,ATL 2022-05-10,2022-05-10,18.8,10.0,27.2,0.0,0.0,15.0,5.0,,1022.5,,ATL,c) 10-20,a) 0-1,a) Calm or Light Air
31,ATL 2022-05-11,2022-05-11,20.7,12.8,28.3,0.0,0.0,358.0,4.8,,1020.8,,ATL,d) 20-30,a) 0-1,a) Calm or Light Air
32,ATL 2022-05-12,2022-05-12,22.9,14.4,29.4,0.0,0.0,51.0,9.8,,1017.7,,ATL,d) 20-30,a) 0-1,b) Light or Gentle Breeze
33,BOS 2022-04-10,2022-04-10,8.8,5.0,13.3,0.0,0.0,293.0,22.3,,1003.6,560.0,BOS,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
34,BOS 2022-04-11,2022-04-11,9.8,4.4,17.8,0.0,0.0,270.0,19.1,,1014.7,728.0,BOS,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
35,BOS 2022-04-12,2022-04-12,13.2,9.4,21.1,0.8,0.0,255.0,15.5,,1013.8,349.0,BOS,c) 10-20,a) 0-1,b) Light or Gentle Breeze
36,BOS 2022-04-13,2022-04-13,15.7,8.3,22.8,0.0,0.0,235.0,14.8,,1015.8,670.0,BOS,c) 10-20,a) 0-1,b) Light or Gentle Breeze
37,BOS 2022-04-14,2022-04-14,10.1,7.8,10.0,5.8,0.0,5.0,15.1,,1011.4,0.0,BOS,c) 10-20,b) 1-10,b) Light or Gentle Breeze
38,BOS 2022-04-15,2022-04-15,12.6,7.8,19.4,0.0,0.0,273.0,20.9,,1016.2,691.0,BOS,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
39,BOS 2022-04-16,2022-04-16,15.4,6.1,22.2,9.9,0.0,220.0,26.3,,1012.3,314.0,BOS,c) 10-20,b) 1-10,c) Moderate or Fresh Breeze
